,text,airline_sentiment,clean_text,processed_text
2835,"@united Nope, still sitting at the gate!",negative, nope still sitting at the gate,nopestillsittinggate
2836,"@united bagage which i take to in the cabin i dont need to check-in,correct?",neutral, bagage which i take to in the cabin i ont nee to checkincorrect,bagagetakecabinontneecheckincorrect
2837,@united exactly,neutral, exactly,exactly
2838,@united the passengers waited inside the flight on the runway and returned back in o gate that should not count as a valid journey,negative, the passengers waite insie the flight on the runway an returne back in o gate that shoul not count as a vali journey,passengerswaiteinsieflightrunwayreturnebackgateshoulcountvalijourney
2839,"@united yes it is partly used, the del-ewr is used, the return flight was Cancelled Flightled due to technical glitch in operations",negative, yes it is partly use the elewr is use the return flight was cancelle flightle ue to technical glitch in operations,yespartlyuseelewrusereturnflightcancelleflightleuetechnicalglitchoperations
2840,@united thank you.. Appreciate the response,positive, thank you appreciate the response,thankappreciateresponse
2841,@united Old school ride home to LAX from Houston #flyingRetro http://t.co/6asuwx3Kv0,neutral, ol school rie home to lax from houston  httptco6asuwx3kv0,olschoolriehomelaxhoustonhttptco6asuwx3kv0
2842,.@united I appreciate you looking. Can you compensate me on anything for my troubles? Still haven't taken off for a 10:30 am flight,negative, i appreciate you looking can you compensate me on anything for my troubles still havent taken off for a 1030 am flight,appreciatelookingcompensateanythingtroublesstillhaventtaken1030flight
2843,@united mine is GJQX6J husband is A587CW (Can't DM for some reason.),neutral, mine is gjqx6j husban is a587cw cant m for some reason,minegjqx6jhusbana587cwcantreason
2844,@united thank you thank you thank you for contacting me. Thank you for the offer of a $1000 travel certificate #unitedairlines,positive, thank you thank you thank you for contacting me thank you for the offer of a 1000 travel certificate ,thankthankthankcontactingthankoffer1000travelcertificate
2845,@united Another terrible experience with United. Discrimination. Delays. And no help from customer service #united #notimpressed,negative, another terrible experience with unite iscrimination elays an no help from customer service  ,anotherterribleexperienceuniteiscriminationelayshelpcustomerservice
2846,"@united Hi, we are flying into IAD tomorrow evening. Do you expect delays or Cancelled Flightlations with the snow storm?",neutral, hi we are flying into ia tomorrow evening o you expect elays or cancelle flightlations with the snow storm,hiflyingiatomorroweveningexpectelayscancelleflightlationssnowstorm
2847,"@united If a business decision is made that inconveniences and possibly causes lost customers, is it a good business decision? #Cranky",negative, if a business ecision is mae that inconveniences an possibly causes lost customers is it a goo business ecision ,businessecisionmaeinconveniencespossiblycauseslostcustomersgoobusinessecision
2848,@united sent a DM just now. Thanks I am incredibly happy the fast response I got via Twitter than via customer care. Thank you,positive, sent a m just now thanks i am increibly happy the fast response i got via twitter than via customer care thank you,sentthanksincreiblyhappyfastresponsegotviatwitterviacustomercarethank
2849,@united please provide update on UA 791. This flight has been stranded by united with no information from the crew on the plane.,negative, please provie upate on ua 791 this flight has been strane by unite with no information from the crew on the plane,pleaseprovieupateua791flightstraneuniteinformationcrewplane
2850,@united thanks for reminding me how much easier it is to fly Southwest!  Get more agents at sfo 25!,negative, thanks for remining me how much easier it is to fly southwest  get more agents at sfo 25,thanksreminingmucheasierflysouthwestgetagentssfo25
2851,@united perfect! That works! Thank you!,positive, perfect that works thank you,perfectworksthank
2852,"@united That's still one day over my visa expiring on June 9, which is why I booked my flight on that day.",negative, thats still one ay over my visa expiring on june 9 which is why i booke my flight on that ay,thatsstilloneayvisaexpiringjune9bookeflightay
2853,@united Followback so I can DM plz,neutral, followback so i can m plz,followbackplz
2854,@united MIA-EWR #384 😄😄😄 excellent crew. EWR-IAD #3589 😡😡😡 No crew to load bags - waiting w/ door open freezing. 20 mins past departure.,negative, miaewr   excellent crew ewria   no crew to loa bags  waiting w oor open freezing 20 mins past eparture,miaewrexcellentcrewewriacrewloabagswaitingwooropenfreezing20minspasteparture
2855,@united your customer service is crap.,negative, your customer service is crap,customerservicecrap
2856,@united thanks for having ground crews that are surprised when flights arrive. #beingsuckontarmacsucks!,negative, thanks for having groun crews that are surprise when flights arrive ,thanksgrouncrewssurpriseflightsarrive
2857,@united mechanical issue. Looks like they got it fixed! Thanks for your concern.,positive, mechanical issue looks like they got it fixe thanks for your concern,mechanicalissuelookslikegotfixethanksconcern
2858,@united UA1023 sitting on Tarmac at ORD when there are visibly gates open. Reassign our gate.,negative, ua1023 sitting on tarmac at or when there are visibly gates open reassign our gate,ua1023sittingtarmacvisiblygatesopenreassigngate
2859,@united thanks,positive, thanks,thanks
2860,@united Usually an issue with Express our of SFO. Positive note: Mainline p.s. was enjoyable.,negative, usually an issue with express our of sfo positive note mainline ps was enjoyable,usuallyissueexpresssfopositivenotemainlinepsenjoyable
2861,"@united No. SATO rebooked me. Just upset that my travel office had to fix this, and you couldn't.",negative, no sato rebooke me just upset that my travel office ha to fix this an you coulnt,satorebookeupsettravelofficehafixcoulnt
2862,@united kind of unnerving to watch the guy deicing your plane text on his phone the whole time http://t.co/QdXfT9qqT9,negative, kin of unnerving to watch the guy eicing your plane text on his phone the whole time httptcoqxft9qqt9,kinunnervingwatchguyeicingplanetextphonewholetimehttptcoqxft9qqt9
2863,@united refreshes my browser right before checkout.error load message. Ticket price increased $358 in a matter of sec. DoUNotWantMyBusiness?,negative, refreshes my browser right before checkouterror loa message ticket price increase 358 in a matter of sec ounotwantmybusiness,refreshesbrowserrightcheckouterrorloamessageticketpriceincrease358mattersecounotwantmybusiness
2864,@united @JedediahBila Why is United voted every year as one of the worst airlines? Do enjoy that title? You should give Jedediah free passes,negative,  why is unite vote every year as one of the worst airlines o enjoy that title you shoul give jeeiah free passes,unitevoteeveryyearoneworstairlinesenjoytitleshoulgivejeeiahfreepasses
2865,@united I think you should board from the back of the plane #whatstheholdup #CHItoCLE,negative, i think you shoul boar from the back of the plane  ,thinkshoulboarbackplane
2866,@united On the plane but thanks! Maybe don't let so many people check in by themselves - teeming with morons.,positive, on the plane but thanks maybe ont let so many people check in by themselves  teeming with morons,planethanksmaybeontletmanypeoplecheckteemingmorons
2867,@united Thanks...seat made for a 6 year old and a broken TV. 20 flights/year...my last on your airline.,negative, thanksseat mae for a 6 year ol an a broken tv 20 flightsyearmy last on your airline,thanksseatmae6yearolbrokentv20flightsyearmylastairline
2868,@united UA6357 needs de-icing! Stat! We've waited our turn...,neutral, ua6357 nees eicing stat weve waite our turn,ua6357neeseicingstatwevewaiteturn
2869,@united yes I've boarded this way many times &amp; have never had to show my pass on the Tarmac multiple times. Path was railed off. Only 1 way,neutral, yes ive boare this way many times amp have never ha to show my pass on the tarmac multiple times path was raile off only 1 way,yesiveboarewaymanytimesampneverhashowpasstarmacmultipletimespathraile1way
2870,"@united @bobwesson fair enough United. everybody is doing the best they can. Although that ""slight delay"" is turning into a Cancelled Flightlation.",negative,  fair enough unite everyboy is oing the best they can although that slight elay is turning into a cancelle flightlation,fairenoughuniteeveryboyoingbestalthoughslightelayturningcancelleflightlation
2871,@united Still waiting on our bag! Never got delivered yesterday. Can't reach a real person for help. Sending DM with ref number.,negative, still waiting on our bag never got elivere yesteray cant reach a real person for help sening m with ref number,stillwaitingbagnevergotelivereyesteraycantreachrealpersonhelpseningrefnumber
2872,@united worst flight experience I've ever had. Will never ever fly your airline again.,negative, worst flight experience ive ever ha will never ever fly your airline again,worstflightexperienceiveeverhanevereverflyairline
2873,@united why do I have to go thru the details of the flight I want w/ the recording to then repeat ALL when a real person gets on the line?,negative, why o i have to go thru the etails of the flight i want w the recoring to then repeat all when a real person gets on the line,gothruetailsflightwantwrecoringrepeatrealpersongetsline
2874,@united Looks like they came through. Thanks again for the help.,positive, looks like they came through thanks again for the help,lookslikecamethankshelp
2875,@united anything yet JJ?,neutral, anything yet jj,anythingyetjj
2876,@united why would a person take hours and hours of wait time just to tell a lie,negative, why woul a person take hours an hours of wait time just to tell a lie,woulpersontakehourshourswaittimetelllie
2877,@united hey! DM not working. UA 307!,negative, hey m not working ua 307,heyworkingua307
2878,@united the refund team is far from customer care courtesy they need training on work ethics. So it's like sir u r lying how can I help,negative, the refun team is far from customer care courtesy they nee training on work ethics so its like sir u r lying how can i help,refunteamfarcustomercarecourtesyneetrainingworkethicslikesirurlyinghelp
2879,@united splitting up my flights quadruples the price,negative, splitting up my flights quaruples the price,splittingflightsquaruplesprice
2880,@united contd... I am being told that I am asking for a refund on a used ticket on a flight that got Cancelled Flightled how is the ticket used?,negative, cont i am being tol that i am asking for a refun on a use ticket on a flight that got cancelle flightle how is the ticket use,conttolaskingrefunuseticketflightgotcancelleflightleticketuse
2881,@united after several trials and several hours of waiting on phone to contact customer care to get my refund all I get is cold shoulder,negative, after several trials an several hours of waiting on phone to contact customer care to get my refun all i get is col shouler,severaltrialsseveralhourswaitingphonecontactcustomercaregetrefungetcolshouler
2882,@united I booked and paid for a flight to get me to Denver at a specific time for a meeting. You failed... It wasn't caused by weather,negative, i booke an pai for a flight to get me to enver at a specific time for a meeting you faile it wasnt cause by weather,bookepaiflightgetenverspecifictimemeetingfailewasntcauseweather
2883,@united since when did you get so good again!  4 transcontinental flights in 72h.  What a pleasure/relief you were.,positive, since when i you get so goo again  4 transcontinental flights in 72h  what a pleasurerelief you were,sincegetgoo4transcontinentalflights72hpleasurerelief
2884,@united what I don't understand isn't flight that I paid premium for getting Cancelled Flighted and the best you can do is next available flight...,negative, what i ont unerstan isnt flight that i pai premium for getting cancelle flighte an the best you can o is next available flight,ontunerstanisntflightpaipremiumgettingcancelleflightebestnextavailableflight
2885,"@united Flight is awful only one lavatory functioning, and people lining up, bumping, etc. because can't use 1st class bathroom. Ridiculous",negative, flight is awful only one lavatory functioning an people lining up bumping etc because cant use 1st class bathroom riiculous,flightawfulonelavatoryfunctioningpeopleliningbumpingetccantuse1stclassbathroomriiculous
2886,@united Are the current on board food menus available anywhere online?,neutral, are the current on boar foo menus available anywhere online,currentboarfoomenusavailableanywhereonline
2887,@United Airlines Is Changing Its MileagePlus Program: Winners And Losers http://t.co/F1yvAiO9ul http://t.co/vGlx6Ykwqg,neutral, airlines is changing its mileageplus program winners an losers httptcof1yvaio9ul httptcovglx6ykwqg,airlineschangingmileageplusprogramwinnerslosershttptcof1yvaio9ulhttptcovglx6ykwqg
2888,@united actually we aren't. Still parked here.,negative, actually we arent still parke here,actuallyarentstillparke
2889,"Can I put sun in my carry on? RT “@united: @ant_kneee Right now 0 would be a heat wave, so enjoy the warmth! Can you bring some home? ^JJ”",neutral,can i put sun in my carry on rt   right now 0 woul be a heat wave so enjoy the warmth can you bring some home jj,putsuncarryrtright0woulheatwaveenjoywarmthbringhomejj
2890,@united Thanks!,positive, thanks,thanks
2891,@united thanks for prompt response.  Another hour to enjoy vacation! Perhaps a bug in the app as it still shows 2:55.,positive, thanks for prompt response  another hour to enjoy vacation perhaps a bug in the app as it still shows 255,thankspromptresponseanotherhourenjoyvacationperhapsbugappstillshows255
2892,@united Why can I only apply one travel certificate per itinerary even when I have multiple flights?,negative, why can i only apply one travel certificate per itinerary even when i have multiple flights,applyonetravelcertificateperitineraryevenmultipleflights
2893,@united appreciate the sentiment and you were able to get me off the ground;still missed connection,positive, appreciate the sentiment an you were able to get me off the grounstill misse connection,appreciatesentimentablegetgrounstillmisseconnection
2894,"@united I log in, view reservations, try view specific reservation &amp; takes me back to login page,",negative, i log in view reservations try view specific reservation amp takes me back to login page,logviewreservationstryviewspecificreservationamptakesbackloginpage
2895,"@united it just goes round &amp; round, it's be going on for weeks,",neutral, it just goes roun amp roun its be going on for weeks,goesrounamproungoingweeks
2896,Thank you @united for your prompt assistance.,positive,thank you  for your prompt assistance,thankpromptassistance
2897,@united 3 times my flight has been delayed and I miss my next flight. This time you've lost my baggage. No clean clothes. $337 flight. Thx!,negative, 3 times my flight has been elaye an i miss my next flight this time youve lost my baggage no clean clothes 337 flight thx,3timesflightelayemissnextflighttimeyouvelostbaggagecleanclothes337flightthx
2898,@united I looked on the email chain and there is not one,neutral, i looke on the email chain an there is not one,lookeemailchainone
2899,@united why the hell do my miles expire? Was really looking forward to accruing enough for a free flight in 10 years.,negative, why the hell o my miles expire was really looking forwar to accruing enough for a free flight in 10 years,hellmilesexpirereallylookingforwaraccruingenoughfreeflight10years
2900,@united thanks for more timely updates.,positive, thanks for more timely upates,thankstimelyupates
2901,@united Do you also want the naming rights to my first child so I can fly home and visit with my mother and avoid more winter depression?,neutral, o you also want the naming rights to my first chil so i can fly home an visit with my mother an avoi more winter epression,alsowantnamingrightsfirstchilflyhomevisitmotheravoiwinterepression
2902,@united I'm familiar with the procedure. It wouldn't be the first time #UnitedAirlines lost one of my bags. #unhappytraveler,negative, im familiar with the proceure it woulnt be the first time  lost one of my bags ,imfamiliarproceurewoulntfirsttimelostonebags
2903,@united I get that. But doing it by giving inaccurate/misleading info doesn't seem like a great way to do it. #hopethegearmakesitintact,negative, i get that but oing it by giving inaccuratemisleaing info oesnt seem like a great way to o it ,getoinggivinginaccuratemisleainginfooesntseemlikegreatway
2904,@united cleaning a regional jet takes an hour?,negative, cleaning a regional jet takes an hour,cleaningregionaljettakeshour
2905,@united Baggage check in and in flight crew the friendliest ever Flight#417 ogg to Lax !!!,positive, baggage check in an in flight crew the frienliest ever flight ogg to lax ,baggagecheckflightcrewfrienliesteverflightogglax
2906,@united thanks. That means I have 30 minutes to make my international connection to HKG,neutral, thanks that means i have 30 minutes to make my international connection to hkg,thanksmeans30minutesmakeinternationalconnectionhkg
2907,@united @JedediahBila KP I am not traveling - we trying to cheer up Ms. Bila.,neutral,  kp i am not traveling  we trying to cheer up ms bila,kptravelingtryingcheermsbila
2908,"@united You just tried to charge $750 for a $539 flight when I tried to make a change over the phone, not including $200 change fee. WTF?",negative, you just trie to charge 750 for a 539 flight when i trie to make a change over the phone not incluing 200 change fee wtf,triecharge750539flighttriemakechangephoneincluing200changefeewtf
2909,@united Thank you for your offer! All sorted out :-),positive, thank you for your offer all sorte out ,thankoffersorte
2910,@united workin on it. Waiting on him to reply.,neutral, workin on it waiting on him to reply,workinwaitingreply
2911,@united Flight 395. Rolling delay of 1 hour 42 minutes,negative, flight 395 rolling elay of 1 hour 42 minutes,flight395rollingelay1hour42minutes
2912,@united I believe just customer service. At last post he was at Narita in Tokyo. They sent him to a motel to rest. Said standby maybe 2days,negative, i believe just customer service at last post he was at narita in tokyo they sent him to a motel to rest sai stanby maybe 2ays,believecustomerservicelastpostnaritatokyosentmotelrestsaistanbymaybe2ays
2913,@united I think this is the best first class I have ever gotten!!  Denver to LAX and it's wonderful!!!,positive, i think this is the best first class i have ever gotten  enver to lax an its wonerful,thinkbestfirstclassevergottenenverlaxwonerful
2914,@united of course not. The inflight crew was great!,positive, of course not the inflight crew was great,courseinflightcrewgreat
2915,"@united well played, ^LO.",positive, well playe lo,wellplayelo
2916,@united The pilot of UA475 just landed this plane like he was gently placing us into a pile of whipped cream. Smoothest landing ever.,positive, the pilot of ua475 just lane this plane like he was gently placing us into a pile of whippe cream smoothest laning ever,pilotua475laneplanelikegentlyplacinguspilewhippecreamsmoothestlaningever
2917,@united your website is a complete joke when using safari!,negative, your website is a complete joke when using safari,websitecompletejokeusingsafari
2918,@united the new seats on the Canadaair regional jets just plain suck.,negative, the new seats on the canaaair regional jets just plain suck,newseatscanaaairregionaljetsplainsuck
2919,@united I'm in another country - please Cancelled Flight my reservation. I've booked through Swiss air,neutral, im in another country  please cancelle flight my reservation ive booke through swiss air,imanothercountrypleasecancelleflightreservationivebookeswissair
2920,@united airlines abuse your expensive video equipment and overcharge you for the privilege http://t.co/SdyLuKR7pt via @robthecameraman,negative, airlines abuse your expensive vieo equipment an overcharge you for the privilege httptcosylukr7pt via ,airlinesabuseexpensivevieoequipmentoverchargeprivilegehttptcosylukr7ptvia
2921,@united found the flight on @airfarewatchdog,neutral, foun the flight on ,founflight
2922,@united that's the reply? Lol hoping that at least the new plane was maintained before the flight. 😒,negative, thats the reply lol hoping that at least the new plane was maintaine before the flight ,thatsreplylolhopingleastnewplanemaintaineflight
2923,@united Did somebody say flight upgrade?,negative, i someboy say flight upgrae,someboysayflightupgrae
2924,@united DM sent.,neutral, m sent,sent
2925,@united how is it tripitPro has accurate delayed dept. times and 2hours Late Flightr I hear the same from you? Just curious,negative, how is it tripitpro has accurate elaye ept times an 2hours late flightr i hear the same from you just curious,tripitproaccurateelayeepttimes2hourslateflightrhearcurious
2926,"@united I can tell you. Your airline has lost mine and my families business. 
This day and age message through Twitter travels fast.",negative," i can tell you your airline has lost mine an my families business 
this ay an age message through twitter travels fast",tellairlinelostminefamiliesbusinessayagemessagetwittertravelsfast
2927,@united trying to reach him for the number. At last they have him on standbye and gave him 1 meal voucher for a potential 2 day standbye!,negative, trying to reach him for the number at last they have him on stanbye an gave him 1 meal voucher for a potential 2 ay stanbye,tryingreachnumberlaststanbyegave1mealvoucherpotential2aystanbye
2928,@united this is very disappointing. This is about customer service.,negative, this is very isappointing this is about customer service,isappointingcustomerservice
2929,"@united boarded 6373 on time, deplaned, and now 100 minutes delay. No transparency during. Can't wait to give up my gold status for AA.",negative, boare 6373 on time eplane an now 100 minutes elay no transparency uring cant wait to give up my gol status for aa,boare6373timeeplane100minuteselaytransparencyuringcantwaitgivegolstatusaa
2930,@united @44Stocker my wife Sarah stocker did also called but could not connect me to customer service,negative,  my wife sarah stocker i also calle but coul not connect me to customer service,wifesarahstockeralsocallecoulconnectcustomerservice
2931,"@united Once again I am victim to the scam that is your SHIT Customer Service, this time the agent hung up on me WTF do you teach your staff",negative, once again i am victim to the scam that is your shit customer service this time the agent hung up on me wtf o you teach your staff,victimscamshitcustomerservicetimeagenthungwtfteachstaff
2932,@united flight 1219. My frustration boiled over after dealing with attendant. Her attitude was ridiculous.,negative, flight 1219 my frustration boile over after ealing with attenant her attitue was riiculous,flight1219frustrationboileealingattenantattitueriiculous
2933,@united nice to know that 3 hours of my time is worth $7.99. Free DirectTV for everyone! Ever hear of preventative maintenance?,negative, nice to know that 3 hours of my time is worth 799 free irecttv for everyone ever hear of preventative maintenance,niceknow3hourstimeworth799freeirecttveveryoneeverhearpreventativemaintenance
2934,@united that may be true however after 4 weeks matter is still unresolved and I can not get through to a supervisor or manager to help,negative, that may be true however after 4 weeks matter is still unresolve an i can not get through to a supervisor or manager to help,maytruehowever4weeksmatterstillunresolvegetsupervisormanagerhelp
2935,@united obviously no one knows a darn thing around here.  What are we to do if this does not get resolved? http://t.co/Ph8QJzaPKx,negative, obviously no one knows a arn thing aroun here  what are we to o if this oes not get resolve httptcoph8qjzapkx,obviouslyoneknowsarnthingarounoesgetresolvehttptcoph8qjzapkx
2936,"@united so going forward, I shouldn't be Flight Booking Problems Star Alliance flights through the United App?",neutral, so going forwar i shoulnt be flight booking problems star alliance flights through the unite app,goingforwarshoulntflightbookingproblemsstarallianceflightsuniteapp
2937,@united I have those notifications yet the staff on board say that is not accurate and they have no departure time.,negative, i have those notifications yet the staff on boar say that is not accurate an they have no eparture time,notificationsyetstaffboarsayaccurateeparturetime
2938,@united I'm not know if the seats are actually narrower than other seats but they feel like it. Or maybe I'm extra bloated.,negative, im not know if the seats are actually narrower than other seats but they feel like it or maybe im extra bloate,imknowseatsactuallynarrowerseatsfeellikemaybeimextrabloate
2939,@united DM sent.  This lack if customer service is getting ridiculous.,negative, m sent  this lack if customer service is getting riiculous,sentlackcustomerservicegettingriiculous
2940,@united delayed going home AGAIN. Getting really tired of delays.,negative, elaye going home again getting really tire of elays,elayegoinghomegettingreallytireelays
2941,@united a big thanks to ^MN and ^KN or patiently clarifying the United domestic world to me.,positive, a big thanks to mn an kn or patiently clarifying the unite omestic worl to me,bigthanksmnknpatientlyclarifyinguniteomesticworl
2942,@united uh - I booked it through the UA website. Why the price change?,negative, uh  i booke it through the ua website why the price change,uhbookeuawebsitepricechange
2943,@united I'm rebooked. Getting home 4 hours Late Flightr then planned. What are the chances I'll ever see my bag again? #unhappytraveler,negative, im rebooke getting home 4 hours late flightr then planne what are the chances ill ever see my bag again ,imrebookegettinghome4hourslateflightrplannechancesilleverseebag
2944,"@united United Club team is A+ &amp; got me a seat Late Flightr. Still, not sure why a last min UAL Cancelled Flightlation costs me $ yet overbooked folks get $?",negative, unite club team is a amp got me a seat late flightr still not sure why a last min ual cancelle flightlation costs me  yet overbooke folks get ,uniteclubteamampgotseatlateflightrstillsurelastminualcancelleflightlationcostsyetoverbookefolksget
2945,"@united will flight 5559 to YYC be providing free food when we are allowed back on board  after the ""broken lightbulb""",negative, will flight 5559 to yyc be proviing free foo when we are allowe back on boar  after the broken lightbulb,flight5559yycproviingfreefooallowebackboarbrokenlightbulb
2946,@united I was not looking for the fare to be returned on the companion flight.  don't understand why an additional $200 fee was necessary.,negative, i was not looking for the fare to be returne on the companion flight  ont unerstan why an aitional 200 fee was necessary,lookingfarereturnecompanionflightontunerstanaitional200feenecessary
2947,"@united thank you so much, that helps a ton. Whoever is on this Twitter acct today deserves a handshake and a hot chocoLate Flight. #problemsolvers",positive, thank you so much that helps a ton whoever is on this twitter acct toay eserves a hanshake an a hot chocolate flight ,thankmuchhelpstonwhoevertwitteraccttoayeserveshanshakehotchocolateflight
2948,@united I left headphones in 2A on UA4689 from YHZ-EWR. It's a long shot to see them again. But worth a tweet anyway!,neutral, i left heaphones in 2a on ua4689 from yhzewr its a long shot to see them again but worth a tweet anyway,leftheaphones2aua4689yhzewrlongshotseeworthtweetanyway
2949,@united 129 thousand fans of @JedediahBila are asking you to give her your utmost effort to get her a safe flight with her baggage soon!,neutral, 129 thousan fans of  are asking you to give her your utmost effort to get her a safe flight with her baggage soon,129thousanfansaskinggiveutmosteffortgetsafeflightbaggagesoon
2950,@united can't wait!!! 787!!! @tpallini http://t.co/oDlall5eDH,positive, cant wait 787  httptcoolall5eh,cantwait787httptcoolall5eh
2951,@united flight 5187 to be specific. The last two were probably 30 feet apart and within sight of each other,negative, flight 5187 to be specific the last two were probably 30 feet apart an within sight of each other,flight5187specificlasttwoprobably30feetapartwithinsight
2952,@united love being told you would issue a refund when you couldn't get us out of the way of a hurricane to have it denied,positive, love being tol you woul issue a refun when you coulnt get us out of the way of a hurricane to have it enie,lovetolwoulissuerefuncoulntgetuswayhurricaneenie
2953,@united Without baggage for 5 days and can't get an update from Houston airport since Monday. Worst service ever!,negative, without baggage for 5 ays an cant get an upate from houston airport since monay worst service ever,withoutbaggage5ayscantgetupatehoustonairportsincemonayworstserviceever
2954,@united yes to three different checkers along the walk to the plane. Overkill,negative, yes to three ifferent checkers along the walk to the plane overkill,yesthreeifferentcheckersalongwalkplaneoverkill
2955,@united Bummer. Might have to go with @AmericanAir card instead. TY for response though.,negative, bummer might have to go with  car instea ty for response though,bummermightgocarinsteatyresponsethough
2956,"“@united: @LRuns4Cupcakes Please DM details, we'd like to help if you need assistance. ^KP” @ClarkHoward #Another #Airlines #Issues",neutral,  please m etails we like to help if you nee assistance kp    ,pleaseetailslikehelpneeassistancekp
2957,@united or I'm sure her business will go else where for airline travel. Her name is Kathryn Sotelo,negative, or im sure her business will go else where for airline travel her name is kathryn sotelo,imsurebusinessgoelseairlinetravelnamekathrynsotelo
2958,@united please arrange someone at the arriving gate of flight 5957 to Chicago for either a refund or first class upgrade,neutral, please arrange someone at the arriving gate of flight 5957 to chicago for either a refun or first class upgrae,pleasearrangesomeonearrivinggateflight5957chicagoeitherrefunfirstclassupgrae
2959,"@united made to check in my carry on from Flight 1449 PBI to Newark. Plane luggage stow not full. U r costing me time, money &amp; aggravation!",negative, mae to check in my carry on from flight 1449 pbi to newark plane luggage stow not full u r costing me time money amp aggravation,maecheckcarryflight1449pbinewarkplaneluggagestowfullurcostingtimemoneyampaggravation
2960,@united I have no way to contact her while she is in flight. This does not work for me. Her father is about to pass and is heading to Denver,negative, i have no way to contact her while she is in flight this oes not work for me her father is about to pass an is heaing to enver,waycontactflightoesworkfatherpassheaingenver
2961,"@united we are on two more flights today, let's hope the kit does not get the same treatment!! http://t.co/Pd3nbAAkxH",negative, we are on two more flights toay lets hope the kit oes not get the same treatment httptcop3nbaakxh,twoflightstoayletshopekitoesgettreatmenthttptcop3nbaakxh
2962,@united thnx!,positive, thnx,thnx
2963,@united - please help regarding PNR A3ZZ0F. Why am I now waitlisted for a flight?,negative,  please help regaring pnr a3zz0f why am i now waitliste for a flight,pleasehelpregaringpnra3zz0fwaitlisteflight
2964,@united just emailed Jim Compton and Jeff Smisek so hopefully you pay attention now,neutral, just emaile jim compton an jeff smisek so hopefully you pay attention now,emailejimcomptonjeffsmisekhopefullypayattention
2965,@united I hope you have a solution or insurance to cover this issue,negative, i hope you have a solution or insurance to cover this issue,hopesolutioninsurancecoverissue
2966,@united customer service has no solution and now we might miss a show because of them,negative, customer service has no solution an now we might miss a show because of them,customerservicesolutionmightmissshow
2967,@united deserves to go bankrupt. Just delayed an outbound flight with no info on the connecting flight that we're going to miss,negative, eserves to go bankrupt just elaye an outboun flight with no info on the connecting flight that were going to miss,eservesgobankruptelayeoutbounflightinfoconnectingflightgoingmiss
2968,@united FLT 3444 delayed because of maintenance - that's fixed but can't board because flight crew didn't stay in boarding area #fail,negative, flt 3444 elaye because of maintenance  thats fixe but cant boar because flight crew int stay in boaring area ,flt3444elayemaintenancethatsfixecantboarflightcrewintstayboaringarea
2969,@united not anymore.  Finally was ticketed 5 min before takeoff.  Not sure why the confusion with a full-fare GSA ticket.,negative, not anymore  finally was tickete 5 min before takeoff  not sure why the confusion with a fullfare gsa ticket,anymorefinallytickete5mintakeoffsureconfusionfullfaregsaticket
2970,@united Do miles earned with Explorer card count toward lifetime miles?,neutral, o miles earne with explorer car count towar lifetime miles,milesearneexplorercarcounttowarlifetimemiles
2971,"@united yes, but they still don't know where it is.  I've been told it might be on a flight, but now no one can confirm it.",negative, yes but they still ont know where it is  ive been tol it might be on a flight but now no one can confirm it,yesstillontknowivetolmightflightoneconfirm
2972,@united what do I do if something is missing from my checked baggage?,neutral, what o i o if something is missing from my checke baggage,somethingmissingcheckebaggage
2973,"@United wind chill in Ithica -17 degrees, and for the trouble of losing my clothes they give me a t-shirt. I'll burn it for warmth. #united",negative, win chill in ithica 17 egrees an for the trouble of losing my clothes they give me a tshirt ill burn it for warmth ,winchillithica17egreestroublelosingclothesgivetshirtillburnwarmth
2974,"@united Aw, thanks for the kind words. Totally makes these extra 6 hours sitting in an airport SOOOO much better.",positive, aw thanks for the kin wors totally makes these extra 6 hours sitting in an airport soooo much better,awthankskinworstotallymakesextra6hourssittingairportsoooomuchbetter
2975,@united Frontier is currently offering their weather exceptions for this weekend. When is United?,neutral, frontier is currently offering their weather exceptions for this weeken when is unite,frontiercurrentlyofferingweatherexceptionsweekenunite
2976,"@united I will be calling customer service. 2 delayed flights today now, luggage misplaced, a disaster across the board.",negative, i will be calling customer service 2 elaye flights toay now luggage misplace a isaster across the boar,callingcustomerservice2elayeflightstoayluggagemisplaceisasteracrossboar
2977,"@united crew has been notified, passenger moved but water not fixed. Now on tarmac two hours",negative, crew has been notifie passenger move but water not fixe now on tarmac two hours,crewnotifiepassengermovewaterfixetarmactwohours
2978,@united that link is not helpful as it does not put me In touch with management,negative, that link is not helpful as it oes not put me in touch with management,linkhelpfuloesputtouchmanagement
2979,"@united as u might imagine, this former pilot was particularly touched by the gesture. Please let the FO know #keepingtraditionsalive",positive, as u might imagine this former pilot was particularly touche by the gesture please let the fo know ,umightimagineformerpilotparticularlytouchegesturepleaseletfoknow
2980,"@united Delayed CMH to ORD. Ran to gate 1 min b4 connection -door closed no one around. Ignored by 1st agent, 2nd super rude. #thanksunited",negative, elaye cmh to or ran to gate 1 min b4 connection oor close no one aroun ignore by 1st agent 2n super rue ,elayecmhrangate1minb4connectionoorcloseonearounignore1stagent2nsuperrue
2981,"@united @upgrd I guess the Kit Kat looks tasty... not going near that ""sandwich.""",negative,  i guess the kit kat looks tasty not going near that sanwich,guesskitkatlookstastygoingnearsanwich
